Refreshment Brand,Confectionary Brand,Intermediate Brand
CADBURY BOURNVITA,TOM TOM CLASSIC,COCOA POWDER
CADBURY 3-in-1 HOT CHOCOLATE,TOMTOM STRAWBERRY,COCOA BUTTER
,BUTTERMINT,
Foreign,Local
Cocoa Butter,Cocoa powder
Cake,
Liquor,
refreshment,Confectionary,intermediate
Bournvita,Tom tom,Cocoa powder
Hot chocolate,butter mint,cocoa butter
,,cocoa liquor
,,cocoa cake
refreshment,Confectionary,intermediate
Cadbury bournvita,Tom tom classic,cocoa powder
Cadbury 3-in-1 hot chocolate,Tom tom strawberry,cocoa butter
,Buttermint,
